options: {'left_index': True, 'order_results': True, 'normalize_cols': {2: 'RI', 3: 'Na', 4: 'Mg', 5: 'Al', 6: 'Si', 7: 'K', 8: 'Ca', 9: 'Ba', 10: 'Fe'}, 'result_col': 11}
           RI        Na        Mg        Al        Si         K        Ca        Ba        Fe  result
0   -0.134328 -0.124812  1.000000 -0.495327 -0.296429 -0.980676 -0.382900 -1.000000 -1.000000       1
50   0.057946 -0.100752  0.657016 -0.862928 -0.307143 -0.971014 -0.139405 -1.000000 -0.372549       1
49  -0.312555 -0.142857  0.492205 -0.414330 -0.189286 -0.809984 -0.353160 -1.000000 -1.000000       1
48  -0.027217 -0.254135  0.679287 -0.688474 -0.221429 -0.958132 -0.146840 -1.000000 -1.000000       1
47   0.362599 -0.019549  0.648107 -0.738318 -0.371429 -0.993559 -0.184015 -1.000000 -0.607843       1
46  -0.338016 -0.260150  0.501114 -0.445483  0.039286 -0.816425 -0.368030 -1.000000 -0.372549       1
45  -0.310799 -0.169925  0.550111 -0.339564 -0.235714 -0.822866 -0.336431 -1.000000 -1.000000       1
51  -0.287972 -0.257143  0.483296 -0.383178 -0.089286 -0.806763 -0.310409 -1.000000 -0.568627       1
44  -0.410887 -0.398496  0.527840 -0.439252  0.121429 -0.800322 -0.381041 -1.000000  0.176471       1
42  -0.417032 -0.254135  0.510022 -0.352025  0.053571 -0.809984 -0.412639 -1.000000 -1.000000       1
41  -0.438104 -0.404511  0.523385 -0.433022  0.210714 -0.809984 -0.403346 -1.000000 -1.000000       1
40  -0.404741 -0.380451  0.559020 -0.482866  0.150000 -0.793881 -0.379182 -1.000000 -1.000000       1
39  -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000       1
38  -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000       1
37  -0.401229 -0.395489  0.550111 -0.339564  0.125000 -0.793881 -0.395911 -1.000000 -1.000000       1
43  -0.038630 -0.097744  0.710468 -0.732087 -0.303571 -0.945250 -0.198885 -1.000000 -1.000000       1
36  -0.302897 -0.049624  0.572383 -0.358255 -0.285714 -0.835749 -0.377323 -0.930159 -1.000000       1
52  -0.391572 -0.187970  0.278396 -0.439252  0.082143 -0.822866 -0.330855 -1.000000 -1.000000       1
55  -0.425812 -0.482707  0.207127 -0.376947  0.389286 -0.819646 -0.325279 -1.000000 -0.058824       1
69   0.040386 -0.224060  0.594655 -0.669782 -0.221429 -0.961353 -0.118959 -1.000000 -0.882353       1
68  -0.089552 -0.281203  0.594655 -0.619938 -0.146429 -0.925926 -0.184015 -1.000000 -0.372549       1
67  -0.089552 -0.302256  0.625835 -0.638629 -0.103571 -0.938808 -0.178439 -1.000000 -0.333333       1
66  -0.089552 -0.302256  0.625835 -0.638629 -0.139286 -0.938808 -0.178439 -1.000000 -0.333333       1
65  -0.136084 -0.109774  0.599109 -0.482866 -0.232143 -0.971014 -0.262082 -1.000000 -1.000000       1
64  -0.071993 -0.172932  0.665924 -0.619938 -0.214286 -0.942029 -0.223048 -1.000000 -0.725490       1
54  -0.417910 -0.254135  0.251670 -0.376947  0.132143 -0.835749 -0.332714 -1.000000 -0.647059       1
63  -0.023705  0.034586  0.697105 -0.694704 -0.450000 -1.000000 -0.208178 -1.000000 -1.000000       1
61  -0.243196 -0.073684  0.594655 -0.358255 -0.317857 -0.961353 -0.397770 -0.561905 -1.000000       1
60  -0.306409 -0.136842  0.612472 -0.489097  0.010714 -0.954911 -0.381041 -1.000000 -1.000000       1
59  -0.438982 -0.200000  0.630290 -0.439252  0.064286 -0.816425 -0.472119 -1.000000 -0.568627       1
..        ...       ...       ...       ...       ...       ...       ...       ...       ...     ...
180 -0.838455  0.103759 -0.224944 -0.221184  0.692857 -1.000000 -0.598513 -1.000000 -1.000000       6
204 -0.559263  0.269173 -1.000000  0.233645  0.246429 -1.000000 -0.390335 -0.574603 -1.000000       7
201 -0.527656 -0.633083 -1.000000 -0.439252  0.917857 -0.130435 -0.349442 -1.000000 -1.000000       7
202 -0.649693  0.239098 -1.000000  0.327103  0.396429 -1.000000 -0.449814 -0.644444 -1.000000       7
203 -0.523266  0.224060 -1.000000  0.059190  0.178571 -1.000000 -0.470260  0.085714 -1.000000       7
205 -0.458297  0.269173 -1.000000 -0.059190  0.135714 -1.000000 -0.408922 -0.015873 -1.000000       7
200 -0.654960  0.329323 -1.000000  0.221184  0.317857 -1.000000 -0.459108 -0.600000 -1.000000       7
207 -0.371378  0.100752 -1.000000 -0.046729  0.089286 -0.545894 -0.806691  0.828571 -1.000000       7
208 -0.539069  0.094737 -1.000000  0.526480  0.085714 -1.000000 -0.252788 -0.657143 -1.000000       7
209 -0.553995  0.025564 -1.000000  0.613707  0.000000 -0.974235 -0.302974 -0.326984 -1.000000       7
210 -0.499561  0.260150 -1.000000  0.059190  0.160714 -1.000000 -0.447955  0.009524 -1.000000       7
211 -0.165935  0.091729 -1.000000  0.077882  0.289286 -1.000000 -0.440520  0.041270 -1.000000       7
206 -0.534680  0.266165 -1.000000 -0.015576  0.178571 -1.000000 -0.397770 -0.123810 -1.000000       7
199 -0.566286  0.287218 -1.000000  0.383178  0.157143 -0.983897 -0.368030 -0.663492 -1.000000       7
212 -0.529412  0.097744 -1.000000  0.028037  0.357143 -1.000000 -0.433086 -0.003175 -1.000000       7
197 -0.462687  0.193985 -1.000000  0.277259  0.239286 -1.000000 -0.345725 -0.580952 -1.000000       7
196 -0.612818 -0.055639 -1.000000  0.401869  0.221429 -0.954911 -0.260223 -0.485714 -0.960784       7
195 -0.622476  0.025564 -1.000000  0.489097  0.278571 -0.974235 -0.323420 -0.612698 -0.803922       7
194 -0.501317  0.151880 -1.000000  0.052960  0.242857 -1.000000 -0.425651 -0.003175 -0.725490       7
193 -0.469710  0.209023 -1.000000  0.065421  0.146429 -1.000000 -0.423792  0.009524 -0.686275       7
192 -0.553995  0.043609 -1.000000  0.557632  0.303571 -0.987118 -0.328996 -0.746032 -0.647059       7
191 -0.572432  0.239098 -1.000000  0.302181  0.239286 -1.000000 -0.381041 -0.593651 -0.647059       7
190 -0.562774 -0.052632 -0.207127 -0.065421  0.175000 -1.000000 -0.397770 -0.517460 -1.000000       7
189  0.097454  0.521805 -0.184855 -0.364486 -0.778571 -0.900161 -0.408922  0.066667 -1.000000       7
188 -0.006146  0.242105 -0.020045  0.102804 -0.839286 -0.755233 -0.195167 -1.000000 -1.000000       7
187  0.053556 -0.184962  0.487751 -0.414330 -0.082143 -0.806763 -0.368030 -1.000000 -1.000000       7
186 -0.365233  0.079699  0.452116  0.202492 -0.485714 -0.529791 -0.933086  0.034921 -1.000000       7
185 -0.985953 -0.109774  0.425390 -0.052960  0.071429 -0.433172 -1.000000 -0.244444 -1.000000       7
198 -0.634767  0.097744 -1.000000  0.476636  0.175000 -0.987118 -0.321561 -0.593651 -1.000000       7
213 -0.476734  0.052632 -1.000000  0.115265  0.267857 -1.000000 -0.407063  0.060317 -1.000000       7

[214 rows x 10 columns]
This is a classification set
class key: {0: 1.0, 1: 2.0, 2: 3.0, 3: 5.0, 4: 6.0, 5: 7.0}
the dataset is: 
[-0.13432835820895783, -0.12481203007518771, 1.0, -0.49532710280373826, -0.29642857142857115, -0.9806763285024155, -0.3828996282527881, -1.0, -1.0, 0]
[0.05794556628622516, -0.10075187969924781, 0.6570155902004455, -0.8629283489096573, -0.3071428571428573, -0.9710144927536232, -0.1394052044609665, -1.0, -0.37254901960784315, 0]
[-0.3125548726953472, -0.1428571428571428, 0.49220489977728277, -0.41433021806853587, -0.18928571428571483, -0.8099838969404187, -0.35315985130111527, -1.0, -1.0, 0]
[-0.027216856892013364, -0.2541353383458643, 0.6792873051224944, -0.6884735202492211, -0.2214285714285733, -0.9581320450885669, -0.14684014869888495, -1.0, -1.0, 0]
[0.36259877085162096, -0.019548872180450982, 0.6481069042316259, -0.7383177570093458, -0.371428571428574, -0.9935587761674718, -0.18401486988847582, -1.0, -0.607843137254902, 0]
[-0.338015803336271, -0.2601503759398498, 0.5011135857461024, -0.44548286604361376, 0.039285714285714146, -0.8164251207729469, -0.36802973977695175, -1.0, -0.37254901960784315, 0]
[-0.31079894644425765, -0.16992481203007503, 0.5501113585746102, -0.33956386292834884, -0.23571428571428477, -0.822866344605475, -0.3364312267657993, -1.0, -1.0, 0]
[-0.2879719051799777, -0.25714285714285734, 0.4832962138084631, -0.383177570093458, -0.08928571428571441, -0.8067632850241546, -0.31040892193308545, -1.0, -0.5686274509803921, 0]
[-0.41088674275680537, -0.3984962406015037, 0.5278396436525612, -0.4392523364485982, 0.12142857142857277, -0.8003220611916264, -0.3810408921933086, -1.0, 0.17647058823529416, 0]
[-0.4170324846356477, -0.2541353383458643, 0.5100222717149221, -0.35202492211838, 0.0535714285714306, -0.8099838969404187, -0.4126394052044611, -1.0, -1.0, 0]
[-0.43810359964881873, -0.4045112781954885, 0.5233853006681513, -0.4330218068535826, 0.2107142857142872, -0.8099838969404187, -0.4033457249070631, -1.0, -1.0, 0]
[-0.40474100087796294, -0.38045112781954915, 0.5590200445434297, -0.4828660436137071, 0.1500000000000008, -0.7938808373590982, -0.3791821561338291, -1.0, -1.0, 0]
[-0.03599648814749967, 0.04661654135338389, 0.7015590200445432, -0.8878504672897196, -0.3000000000000015, -0.964573268921095, -0.23048327137546465, -1.0, -1.0, 0]
[-0.03599648814749967, 0.04661654135338389, 0.7015590200445432, -0.8878504672897196, -0.3000000000000015, -0.964573268921095, -0.23048327137546465, -1.0, -1.0, 0]
[-0.4012291483757646, -0.3954887218045112, 0.5501113585746102, -0.33956386292834884, 0.124999999999998, -0.7938808373590982, -0.3959107806691451, -1.0, -1.0, 0]
[-0.038630377524143555, -0.09774436090225547, 0.7104677060133628, -0.7320872274143302, -0.3035714285714268, -0.9452495974235104, -0.1988847583643123, -1.0, -1.0, 0]
[-0.30289727831430635, -0.04962406015037568, 0.5723830734966591, -0.35825545171339557, -0.28571428571428503, -0.8357487922705313, -0.3773234200743496, -0.9301587301587302, -1.0, 0]
[-0.3915715539947433, -0.18796992481203012, 0.2783964365256124, -0.4392523364485982, 0.08214285714285863, -0.822866344605475, -0.33085501858736077, -1.0, -1.0, 0]
[-0.425812115891134, -0.4827067669172934, 0.20712694877505555, -0.3769470404984424, 0.3892857142857158, -0.8196457326892109, -0.3252788104089219, -1.0, -0.05882352941176472, 0]
[0.040386303775233, -0.22406015037593963, 0.5946547884187081, -0.6697819314641744, -0.2214285714285733, -0.961352657004831, -0.1189591078066915, -1.0, -0.8823529411764706, 0]
[-0.08955223880597185, -0.28120300751879723, 0.5946547884187081, -0.6199376947040498, -0.14642857142857035, -0.9259259259259259, -0.18401486988847582, -1.0, -0.37254901960784315, 0]
[-0.08955223880597185, -0.3022556390977441, 0.6258351893095768, -0.6386292834890965, -0.10357142857143087, -0.9388083735909822, -0.1784386617100373, -1.0, -0.33333333333333326, 0]
[-0.08955223880597185, -0.3022556390977441, 0.6258351893095768, -0.6386292834890965, -0.13928571428571468, -0.9388083735909822, -0.1784386617100373, -1.0, -0.33333333333333326, 0]
[-0.13608428446004728, -0.10977443609022564, 0.5991091314031178, -0.4828660436137071, -0.23214285714285943, -0.9710144927536232, -0.2620817843866171, -1.0, -1.0, 0]
[-0.0719929762949798, -0.1729323308270675, 0.665924276169265, -0.6199376947040498, -0.21428571428571253, -0.9420289855072463, -0.22304832713754663, -1.0, -0.7254901960784313, 0]
[-0.41791044776120223, -0.2541353383458643, 0.25167037861915365, -0.3769470404984424, 0.1321428571428589, -0.8357487922705313, -0.3327137546468403, -1.0, -0.6470588235294118, 0]
[-0.023705004389814932, 0.03458646616541361, 0.6971046770601337, -0.6947040498442367, -0.4500000000000023, -1.0, -0.20817843866171015, -1.0, -1.0, 0]
[-0.24319578577699175, -0.07368421052631557, 0.5946547884187081, -0.35825545171339557, -0.3178571428571434, -0.961352657004831, -0.3977695167286246, -0.5619047619047619, -1.0, 0]
[-0.3064091308165048, -0.136842105263158, 0.6124721603563474, -0.4890965732087227, 0.01071428571428612, -0.9549114331723028, -0.3810408921933086, -1.0, -1.0, 0]
[-0.43898156277437317, -0.19999999999999973, 0.6302895322939865, -0.4392523364485982, 0.06428571428571672, -0.8164251207729469, -0.47211895910780677, -1.0, -0.5686274509803921, 0]
[-0.43898156277437317, -0.1729323308270675, 0.665924276169265, -0.45171339563862933, 0.13571428571428412, -0.8099838969404187, -0.5167286245353161, -1.0, -1.0, 0]
[-0.3775241439859496, -0.35639097744360926, 0.5501113585746102, -0.3769470404984424, 0.12142857142857277, -0.8067632850241546, -0.4423791821561339, -1.0, -1.0, 0]
[-0.9122036874451176, -0.3203007518796992, 0.5456570155902005, -0.4828660436137071, 0.1321428571428589, -0.8003220611916264, -0.4572490706319704, -1.0, 0.21568627450980382, 0]
[-0.0719929762949798, -0.16390977443609023, 0.7193763919821825, -0.632398753894081, -0.2928571428571407, -0.9259259259259259, -0.2360594795539036, -1.0, -0.5686274509803921, 0]
[-0.6031606672519688, -0.230075187969925, 0.5367483296213809, -0.426791277258567, 0.04642857142856993, -0.8196457326892109, -0.4163568773234201, -1.0, -1.0, 0]
[-0.3661106233538194, -0.27518796992481187, 0.26503340757238303, -0.383177570093458, 0.08571428571428408, -0.822866344605475, -0.3234200743494424, -1.0, -1.0, 0]
[-0.4398595258999276, -0.44661654135338336, 0.5456570155902005, -0.3208722741433022, 0.27857142857142936, -0.8067632850241546, -0.4200743494423791, -1.0, -0.7647058823529411, 0]
[-0.43107989464442187, -0.43458646616541374, 0.5991091314031178, -0.36448598130841114, 0.24285714285714555, -0.8132045088566828, -0.42936802973977695, -1.0, -1.0, 0]
[-0.44424934152766105, -0.3593984962406017, 0.5857461024498887, -0.38940809968847356, 0.21428571428571241, -0.8260869565217391, -0.45167286245353144, -1.0, -0.33333333333333326, 0]
[-0.5838454784899068, -0.35338345864661624, 0.5278396436525612, -0.30841121495327106, 0.2392857142857152, -0.7777777777777778, -0.5130111524163568, -1.0, -0.05882352941176472, 0]
[-0.43107989464442187, -0.37744360902255614, 0.6302895322939865, -0.38940809968847356, 0.14285714285714501, -0.8067632850241546, -0.4182156133828996, -1.0, -1.0, 0]
