options: {'order_results': True, 'value_encode': {0: {'M': 1, 'I': 0, 'F': -1}}, 'normalize_cols': {1: 'sex', 2: 'length', 3: 'diameter', 4: 'height', 5: 'whole_weight', 6: 'shucked_weight', 7: 'viscera_weight', 8: 'shell_weight'}, 'result_col': 9}
      sex    length  diameter    height  whole_weight  shucked_weight  viscera_weight  shell_weight  result
236   0.0 -1.000000 -1.000000 -0.982301     -1.000000       -1.000000       -1.000000     -1.000000       1
719   0.0 -0.797297 -0.848739 -0.955752     -0.990792       -0.995293       -0.990783     -0.993024       2
520   1.0 -0.635135 -0.680672 -0.911504     -0.974146       -0.980498       -0.978934     -0.983059       3
3521  0.0 -0.621622 -0.680672 -0.902655     -0.972375       -0.981170       -0.977617     -0.978077       3
306   0.0 -0.756757 -0.781513 -0.946903     -0.986187       -0.991930       -0.988150     -0.993024       3
1054  0.0 -0.675676 -0.680672 -0.920354     -0.974854       -0.977135       -0.985517     -0.981066       3
894   0.0 -0.554054 -0.596639 -0.884956     -0.954312       -0.959650       -0.965767     -0.969108       3
720   0.0 -0.770270 -0.815126 -0.955752     -0.988667       -0.992603       -0.986833     -0.993024       3
3801  0.0 -0.648649 -0.663866 -0.920354     -0.966354       -0.969738       -0.972350     -0.975087       3
2371  1.0 -0.716216 -0.764706 -0.911504     -0.985125       -0.989913       -0.986833     -0.983059       3
238   0.0 -0.905405 -0.882353 -0.946903     -0.995750       -0.997983       -0.996050     -0.997010       3
2115  0.0 -0.716216 -0.747899 -0.920354     -0.981937       -0.984533       -0.974984     -0.985052       3
237   0.0 -0.851351 -0.848739 -0.946903     -0.992208       -0.995293       -0.993417     -0.995017       3
2711  0.0 -0.689189 -0.714286 -0.946903     -0.979104       -0.984533       -0.988150     -0.982063       3
526   1.0 -0.783784 -0.815126 -0.929204     -0.990437       -0.992603       -0.993417     -0.993024       3
3472  0.0 -0.756757 -0.781513 -0.911504     -0.986542       -0.991258       -0.989467     -0.975087       3
1429  0.0 -0.824324 -0.831933 -0.938053     -0.991500       -0.993948       -0.994733     -0.995017       3
3473  0.0 -0.635135 -0.680672 -0.902655     -0.969187       -0.974445       -0.984200     -0.977080       4
2458  0.0 -0.662162 -0.697479 -0.911504     -0.975916       -0.984533       -0.980250     -0.981066       4
900   0.0 -0.391892 -0.394958 -0.858407     -0.908624       -0.934095       -0.931534     -0.917289       4
3428  0.0 -0.527027 -0.579832 -0.884956     -0.944395       -0.954943       -0.952600     -0.960140       4
3902  0.0 -0.770270 -0.781513 -0.964602     -0.988667       -0.991258       -0.989467     -0.993024       4
3906  1.0 -0.540541 -0.579832 -0.884956     -0.956437       -0.968393       -0.965767     -0.963129       4
263   0.0 -0.540541 -0.529412 -0.893805     -0.934124       -0.941493       -0.936801     -0.951171       4
1987  0.0 -0.770270 -0.815126 -0.955752     -0.987604       -0.991258       -0.988150     -0.991031       4
1986  0.0 -0.837838 -0.747899 -0.929204     -0.980875       -0.984533       -0.984200     -0.987045       4
58    0.0 -0.540541 -0.546218 -0.893805     -0.940499       -0.944855       -0.964450     -0.953164       4
525   1.0 -0.729730 -0.764706 -0.929204     -0.984417       -0.988568       -0.985517     -0.993024       4
3899  0.0 -0.824324 -0.831933 -0.938053     -0.991146       -0.994620       -0.992100     -0.993024       4
898   0.0 -0.445946 -0.781513 -0.867257     -0.918541       -0.940148       -0.924951     -0.934230       4
...   ...       ...       ...       ...           ...             ...             ...           ...     ...
628   0.0  0.229730  0.210084 -0.743363     -0.332743       -0.484196       -0.514154     -0.474838      21
811  -1.0  0.121622  0.042017 -0.769912     -0.517266       -0.779422       -0.655036     -0.594420      21
478   1.0  0.783784  0.798319 -0.601770      0.242430       -0.144586       -0.104674      0.152965      21
181   1.0  0.527027  0.529412 -0.690265     -0.032407       -0.308675       -0.300856      0.133034      21
469   1.0  0.621622  0.680672 -0.646018      0.017531       -0.268325       -0.299539     -0.076233      21
428  -1.0  0.310811  0.344538 -0.778761     -0.333451       -0.538668       -0.661619     -0.255605      21
310  -1.0  0.500000  0.445378 -0.663717     -0.120595       -0.377942       -0.196840     -0.225710      21
673   1.0  0.121622  0.126050 -0.734513     -0.595537       -0.698722       -0.674786     -0.664175      21
232   1.0  0.486486  0.512605 -0.619469      0.022490       -0.334230       -0.245556     -0.136024      22
351  -1.0  0.378378  0.327731 -0.699115     -0.386223       -0.554136       -0.570770     -0.464873      22
270  -1.0  0.527027  0.579832 -0.619469      0.258721       -0.391392       -0.249506      0.093174      22
275   1.0  0.567568  0.630252 -0.619469      0.304764       -0.002690       -0.140224      0.162930      22
433   1.0  0.270270  0.226891 -0.752212     -0.469807       -0.668460       -0.658986     -0.494768      22
675  -1.0  0.202703  0.142857 -0.681416     -0.548079       -0.788837       -0.711652     -0.514699      22
2335  1.0  0.445946  0.462185 -0.734513     -0.220117       -0.429724       -0.468071     -0.285501      23
678  -1.0  0.013514  0.092437 -0.707965     -0.423056       -0.665098       -0.497038     -0.474838      23
314   1.0  0.500000  0.445378 -0.690265     -0.080574       -0.418292       -0.225806     -0.086198      23
501  -1.0  0.472973  0.563025 -0.601770     -0.163095       -0.492939       -0.290323     -0.215745      23
2436  1.0  0.189189  0.159664 -0.716814     -0.422348       -0.663080       -0.590520     -0.405082      23
2305 -1.0  0.283784  0.210084 -0.761062     -0.452453       -0.595158       -0.529954     -0.484803      23
2334 -1.0  0.959459  0.932773 -0.654867      0.787852        0.253531        0.552337      0.232686      23
674  -1.0  0.121622  0.109244 -0.734513     -0.444307       -0.677202       -0.632653     -0.524664      23
313  -1.0  0.472973  0.394958 -0.646018     -0.133345       -0.488904       -0.290323     -0.136024      23
3280  1.0  0.662162  0.630252 -0.672566      0.145741       -0.284465       -0.071758      0.103139      24
3149 -1.0  0.689189  0.630252 -0.619469      0.399681       -0.103564       -0.178407      0.412058      24
2201 -1.0  0.540541  0.462185 -0.619469     -0.005490       -0.427707       -0.399605      0.013453      25
294   1.0  0.418919  0.478992 -0.654867     -0.252346       -0.484869       -0.500987     -0.255605      26
2108  1.0  0.594595  0.613445 -0.601770      0.545245        0.012105        0.028308      0.760837      27
2209 -1.0  0.283784  0.378151 -0.681416     -0.142554       -0.564896       -0.461488      0.043348      27
480  -1.0  0.689189  0.781513 -0.672566      0.278909       -0.052455       -0.154707     -0.056303      29

[4177 rows x 9 columns]
This is a regression set
the dataset is: 
[0.0, -1.0, -1.0, -0.9823008849557522, -1.0, -1.0, -1.0, -1.0, 0.0]
[0.0, -0.7972972972972974, -0.8487394957983193, -0.9557522123893806, -0.9907915707455286, -0.9952925353059852, -0.9907834101382489, -0.9930244145490782, 0.03571428571428571]
[1.0, -0.6351351351351351, -0.680672268907563, -0.911504424778761, -0.9741455640162918, -0.980497646267653, -0.9789335088874259, -0.9830592924763328, 0.07142857142857142]
[0.0, -0.6216216216216216, -0.680672268907563, -0.9026548672566371, -0.9723747122365858, -0.9811701412239409, -0.97761685319289, -0.9780767314399601, 0.07142857142857142]
[0.0, -0.7567567567567567, -0.7815126050420168, -0.9469026548672567, -0.9861873561182929, -0.991930060524546, -0.9881500987491771, -0.9930244145490782, 0.07142857142857142]
[0.0, -0.6756756756756757, -0.680672268907563, -0.9203539823008849, -0.9748539047281742, -0.9771351714862139, -0.9855167873601053, -0.9810662680617838, 0.07142857142857142]
[0.0, -0.5540540540540542, -0.5966386554621849, -0.8849557522123894, -0.9543120240835842, -0.9596503026227303, -0.9657669519420672, -0.9691081215744892, 0.07142857142857142]
[0.0, -0.7702702702702703, -0.8151260504201681, -0.9557522123893806, -0.9886665486098813, -0.9926025554808339, -0.9868334430546413, -0.9930244145490782, 0.07142857142857142]
[0.0, -0.6486486486486487, -0.6638655462184874, -0.9203539823008849, -0.9663538161855852, -0.9697377269670477, -0.9723502304147466, -0.9750871948181365, 0.07142857142857142]
[1.0, -0.7162162162162162, -0.7647058823529411, -0.911504424778761, -0.9851248450504693, -0.9899125756556826, -0.9868334430546413, -0.9830592924763328, 0.07142857142857142]
[0.0, -0.9054054054054054, -0.8823529411764706, -0.9469026548672567, -0.9957499557287055, -0.9979825151311366, -0.9960500329163924, -0.9970104633781763, 0.07142857142857142]
[0.0, -0.7162162162162162, -0.7478991596638656, -0.9203539823008849, -0.9819373118469984, -0.98453261600538, -0.9749835418038183, -0.9850523168908819, 0.07142857142857142]
[0.0, -0.8513513513513513, -0.8487394957983193, -0.9469026548672567, -0.9922082521692934, -0.9952925353059852, -0.9934167215273206, -0.9950174389636273, 0.07142857142857142]
[0.0, -0.6891891891891893, -0.7142857142857142, -0.9469026548672567, -0.9791039489994687, -0.98453261600538, -0.9881500987491771, -0.9820627802690582, 0.07142857142857142]
[1.0, -0.7837837837837838, -0.8151260504201681, -0.9292035398230089, -0.9904374003895874, -0.9926025554808339, -0.9934167215273206, -0.9930244145490782, 0.07142857142857142]
[0.0, -0.7567567567567567, -0.7815126050420168, -0.911504424778761, -0.9865415264742341, -0.9912575655682583, -0.989466754443713, -0.9750871948181365, 0.07142857142857142]
[0.0, -0.8243243243243243, -0.8319327731092437, -0.9380530973451328, -0.991499911457411, -0.9939475453934096, -0.9947333772218565, -0.9950174389636273, 0.07142857142857142]
[0.0, -0.6351351351351351, -0.680672268907563, -0.9026548672566371, -0.9691871790331149, -0.9744451916610626, -0.9842001316655694, -0.9770802192326856, 0.10714285714285714]
[0.0, -0.6621621621621622, -0.6974789915966386, -0.911504424778761, -0.9759164157959979, -0.98453261600538, -0.9802501645819618, -0.9810662680617838, 0.10714285714285714]
[0.0, -0.391891891891892, -0.39495798319327735, -0.8584070796460177, -0.9086240481671684, -0.9340954942837929, -0.9315339038841343, -0.9172894867962132, 0.10714285714285714]
[0.0, -0.527027027027027, -0.5798319327731092, -0.8849557522123894, -0.9443952541172304, -0.9549428379287156, -0.9526003949967083, -0.9601395117090185, 0.10714285714285714]
[0.0, -0.7702702702702703, -0.7815126050420168, -0.9646017699115044, -0.9886665486098813, -0.9912575655682583, -0.989466754443713, -0.9930244145490782, 0.10714285714285714]
[1.0, -0.5405405405405406, -0.5798319327731092, -0.8849557522123894, -0.9564370462192314, -0.968392737054472, -0.9657669519420672, -0.963129048330842, 0.10714285714285714]
[0.0, -0.5405405405405406, -0.5294117647058822, -0.8938053097345132, -0.9341243137949353, -0.941492938802959, -0.9368005266622779, -0.9511709018435476, 0.10714285714285714]
[0.0, -0.7702702702702703, -0.8151260504201681, -0.9557522123893806, -0.9876040375420577, -0.9912575655682583, -0.9881500987491771, -0.9910313901345291, 0.10714285714285714]
[0.0, -0.8378378378378378, -0.7478991596638656, -0.9292035398230089, -0.9808748007791748, -0.98453261600538, -0.9842001316655694, -0.987045341305431, 0.10714285714285714]
[0.0, -0.5405405405405406, -0.5462184873949579, -0.8938053097345132, -0.9404993802018771, -0.9448554135843982, -0.9644502962475313, -0.9531639262580966, 0.10714285714285714]
[1.0, -0.7297297297297298, -0.7647058823529411, -0.9292035398230089, -0.9844165043385869, -0.9885675857431069, -0.9855167873601053, -0.9930244145490782, 0.10714285714285714]
[0.0, -0.8243243243243243, -0.8319327731092437, -0.9380530973451328, -0.9911457411014698, -0.9946200403496974, -0.9921000658327848, -0.9930244145490782, 0.10714285714285714]
[0.0, -0.44594594594594594, -0.7815126050420168, -0.8672566371681416, -0.9185408181335222, -0.9401479488903833, -0.9249506254114549, -0.9342301943198804, 0.10714285714285714]
[0.0, -0.7162162162162162, -0.7647058823529411, -0.9380530973451328, -0.9826456525588808, -0.9885675857431069, -0.9868334430546413, -0.9860488290981565, 0.10714285714285714]
[0.0, -0.5135135135135136, -0.5798319327731092, -0.9026548672566371, -0.9426244023375243, -0.9596503026227303, -0.9447004608294931, -0.963129048330842, 0.10714285714285714]
[0.0, -0.7432432432432432, -0.7478991596638656, -0.831858407079646, -0.9801664600672924, -0.9838601210490922, -0.9802501645819618, -0.9830592924763328, 0.10714285714285714]
[0.0, -0.527027027027027, -0.5966386554621849, -0.8938053097345132, -0.9564370462192314, -0.9643577673167452, -0.9802501645819618, -0.963129048330842, 0.10714285714285714]
[0.0, -0.6351351351351351, -0.680672268907563, -0.9203539823008849, -0.9730830529484682, -0.9831876260928043, -0.9802501645819618, -0.9820627802690582, 0.10714285714285714]
[0.0, -0.22972972972972983, -0.2773109243697478, -0.8495575221238938, -0.8625819018948114, -0.8836583725622058, -0.9091507570770243, -0.8754359740906826, 0.10714285714285714]
[0.0, -0.5540540540540542, -0.5798319327731092, -0.9026548672566371, -0.9621037719142908, -0.9697377269670477, -0.9670836076366031, -0.9671150971599402, 0.10714285714285714]
